route,method,action,middleware,public,auth_mode,expected,actual_status,result,evidence
api/branches/{id},PATCH,App\Modules\Iam\Http\Controllers\BranchController@update,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,badauth,401,401,PASS,"PATCH /api/branches/1fe42de5-cf76-48bc-be48-e9f79e7ba882 -> 401 {""message"":""Unauthenticated.""}"
api/branches/{id},PATCH,App\Modules\Iam\Http\Controllers\BranchController@update,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,admin,never 5xx,200,PASS,"PATCH /api/branches/1fe42de5-cf76-48bc-be48-e9f79e7ba882 -> 200 {""id"":""1fe42de5-cf76-48bc-be48-e9f79e7ba882"",""campus_id"":""1d37d95e-2f5c-49cc-835e-5f64a9ddcc7f"",""nam"
api/branches/{id},PATCH,App\Modules\Iam\Http\Controllers\BranchController@update,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,limited,never 5xx,403,PASS,"PATCH /api/branches/1fe42de5-cf76-48bc-be48-e9f79e7ba882 -> 403 {""message"":""Forbidden""}"
api/branches/{id},DELETE,App\Modules\Iam\Http\Controllers\BranchController@destroy,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,noauth,401,401,PASS,"DELETE /api/branches/d63a981e-8d6a-4b9d-b187-f342f563e25e -> 401 {""message"":""Unauthenticated.""}"
api/branches/{id},DELETE,App\Modules\Iam\Http\Controllers\BranchController@destroy,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,badauth,401,401,PASS,"DELETE /api/branches/3c6e91cb-fba5-4277-a908-7abf084eb36c -> 401 {""message"":""Unauthenticated.""}"
api/branches/{id},DELETE,App\Modules\Iam\Http\Controllers\BranchController@destroy,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,admin,never 5xx,404,PASS,"DELETE /api/branches/b363e1c1-0408-48c1-a818-217cbcacd3ee -> 404 {
    ""message"": ""No query results for model [App\\Modules\\Iam\\Models\\Branch] b363e1c1-0408-48c1-"
api/branches/{id},DELETE,App\Modules\Iam\Http\Controllers\BranchController@destroy,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,limited,never 5xx,403,PASS,"DELETE /api/branches/4e61458f-24da-4c7c-ae32-393f077e54f1 -> 403 {""message"":""Forbidden""}"
api/budget-lines,GET,App\Modules\FinancePayroll\Http\Controllers\BudgetController@index,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,noauth,401,401,PASS,"GET /api/budget-lines -> 401 {""message"":""Unauthenticated.""}"
api/budget-lines,GET,App\Modules\FinancePayroll\Http\Controllers\BudgetController@index,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,badauth,401,401,PASS,"GET /api/budget-lines -> 401 {""message"":""Unauthenticated.""}"
api/budget-lines,GET,App\Modules\FinancePayroll\Http\Controllers\BudgetController@index,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,admin,never 5xx,200,PASS,"GET /api/budget-lines -> 200 [{""id"":""8455fe12-9648-4f94-9241-35459c251608"",""name"":""Marketing"",""current_amount"":8500,""allocated_am"
api/budget-lines,GET,App\Modules\FinancePayroll\Http\Controllers\BudgetController@index,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,limited,never 5xx,200,PASS,"GET /api/budget-lines -> 200 [{""id"":""8455fe12-9648-4f94-9241-35459c251608"",""name"":""Marketing"",""current_amount"":8500,""allocated_am"
